site_name,year,cone_count_stdv,mast_year
CHITTY,1991,-0.41019316556356444,0
CHITTY,1992,-0.25069552283770874,0
CHITTY,1993,-0.37447796715103454,0
CHITTY,1994,-0.39291406519704625,0
CHITTY,1995,0.24940162796836615,0
CHITTY,1996,-0.41408496022973124,0
CHITTY,1997,-0.41408496022973124,0
CHITTY,1998,4.05700429916905,1
CHITTY,1999,-0.3986497769085421,0
CHITTY,2000,-0.4131635925546204,0
CHITTY,2001,-0.3994627831423196,0
CHITTY,2002,-0.025042215736956922,0
CHITTY,2003,-0.3484683851627555,0
CHITTY,2004,-0.4045396998315321,0
CHITTY,2005,-0.4139906609601739,0
CHITTY,2006,-0.39836037977678035,0
CHITTY,2007,-0.24228693496315867,0
CHITTY,2008,-0.3983510443854332,0
CHITTY,2009,-0.32828869598601906,0
CHITTY,2010,1.8768263393459916,1
CHITTY,2011,-0.4118725906499664,0
CHITTY,2012,-0.35929105797187544,0
CHITTY,2013,-0.18812181267186248,0
CHITTY,2014,1.9670241815251315,1
CHITTY,2015,-0.4140796426017487,0
CHITTY,2016,-0.4008564743517922,0
CHITTY,2017,-0.34898005914418817,0
KLOO,1988,-0.3280536594233957,0
KLOO,1989,-0.6510223467445321,0
KLOO,1990,-0.34055987284359024,0
KLOO,1991,-0.6424827613287539,0
KLOO,1992,-0.10407712356004316,0
KLOO,1993,1.611384268281221,1
KLOO,1994,-0.6370450357740222,0
KLOO,1995,0.4036203197597568,0
KLOO,1996,-0.09143544302014173,0
KLOO,1997,-0.3212590809171058,0
KLOO,1998,2.272675839318608,1
KLOO,1999,-0.2639618444966942,0
KLOO,2000,-0.6404223917247799,0
KLOO,2001,-0.4878023182163881,0
KLOO,2002,-0.2636972571794337,0
KLOO,2003,-0.5800155601319475,0
KLOO,2004,-0.5595935447388415,0
KLOO,2005,1.051434201604879,1
KLOO,2006,-0.6432301114122901,0
KLOO,2007,-0.3890364742016285,0
KLOO,2008,-0.564812499820606,0
KLOO,2009,-0.4625772694838678,0
KLOO,2010,2.929239548375832,1
KLOO,2011,-0.6509485637745014,0
KLOO,2012,-0.3931818077329202,0
KLOO,2013,-0.3484046686249132,0
KLOO,2014,2.3926540888758607,1
KLOO,2015,-0.6510114379720813,0
KLOO,2016,-0.6463771930936779,0
SILVER,1999,-0.3966936774878337,0
SILVER,2000,-0.4542541250462693,0
SILVER,2001,-0.3200478304714658,0
SILVER,2002,-0.039435171218196466,0
SILVER,2003,-0.4733290299786195,0
SILVER,2004,-0.38480402440402045,0
SILVER,2005,2.7355352921778393,1
SILVER,2006,-0.49070225679355817,0
SILVER,2007,-0.4531475969980525,0
SILVER,2008,-0.47239391251491014,0
SILVER,2009,-0.3856143122476481,0
SILVER,2010,2.866543978453574,1
SILVER,2011,-0.49079320934860293,0
SILVER,2012,-0.44287373262491314,0
SILVER,2013,-0.21536990888119276,0
SILVER,2014,0.749430307807388,1
SILVER,2015,-0.4908213788646391,0
SILVER,2016,-0.45370021662146726,0
SILVER,2017,-0.38752919493741156,0
SULPHUR,1988,-0.20010653435405826,0
SULPHUR,1989,-0.5261983792122135,0
SULPHUR,1990,-0.2675234975423488,0
SULPHUR,1991,-0.5254780389365019,0
SULPHUR,1992,-0.052401793812143174,0
SULPHUR,1993,0.9681517924548425,1
SULPHUR,1994,-0.5236238858214676,0
SULPHUR,1995,0.26499610862087497,0
SULPHUR,1996,0.00038854300531206446,0
SULPHUR,1997,-0.31003073589238,0
SULPHUR,1998,2.0225991103486374,1
SULPHUR,1999,-0.46552617000128377,0
SULPHUR,2000,-0.5126507481989164,0
SULPHUR,2001,-0.4648603717426241,0
SULPHUR,2002,-0.3505502207320729,0
SULPHUR,2003,-0.48138577651517256,0
SULPHUR,2004,-0.44333059917319134,0
SULPHUR,2005,0.88458405653032,1
SULPHUR,2006,-0.51979850708005,0
SULPHUR,2007,-0.3919040882467678,0
SULPHUR,2008,-0.5058363016442115,0
SULPHUR,2009,-0.426331670525328,0
SULPHUR,2010,4.269512595750964,1
SULPHUR,2011,-0.5259628568658528,0
SULPHUR,2012,-0.3388771272240214,0
SULPHUR,2013,-0.35892104302588707,0
SULPHUR,2014,1.2305729944878727,1
SULPHUR,2015,-0.5261832286519212,0
SULPHUR,2016,-0.5196497561244537,0
SULPHUR,2017,-0.4036738698759569,0
