date,year,doy,dyear,footprint,sat,npx,npx_frac,ndvi_mean,ndvi_stdv,evi_mean,evi_stdv,grvi_mean,grvi_stdv,rsr_mean,rsr_stdv,ndii_mean,ndii_stdv,nbr_mean,nbr_stdv,kttc_grn_mean,kttc_grn_stdv,kttc_wet_mean,kttc_wet_stdv,site_name
20080831,2008,244,2008.6684931506848,P61R17,LT05,368,0.997289972899729,0.5846268180714168,0.03137689590572492,0.23148206647243325,0.02146711738766789,0.10200757100794952,0.052546952938684735,0.8449122989594469,0.07906800884557359,0.3849536498049329,0.06347479481073205,0.6186884832520455,0.06832490191218535,0.07050173695946985,0.007949407220263858,-0.019346122460697786,0.010545748418114537,CHITTY
20080831,2008,244,2008.6684931506848,P61R17,LT05,369,1.0,0.41920995596877936,0.03478861404157777,0.1587034263718833,0.01943524040773336,0.061056646649686415,0.04645938830408385,0.5401302879118394,0.04607543944675268,0.16163987739663227,0.04077416536049292,0.3827277044242994,0.04859234102727727,0.039248932355317616,0.0063984837702720145,-0.04345657055102085,0.008573603387362058,SILVER
20080831,2008,244,2008.6684931506848,P61R17,LT05,203,1.0,0.556571370242573,0.04233555218842418,0.2421465013396729,0.14169817504762205,0.0794020191118625,0.054223187817574285,0.7810507917813146,0.09578053564264002,0.30527552051502915,0.07976513827655399,0.5394104224147646,0.0796981787349178,0.04949538734309798,0.4379473112417378,-0.024341859975538317,0.2458684683984497,KLOO
20080915,2008,259,2008.7095890410958,P62R17,LE07,123,0.336986301369863,0.5251720299453866,0.02983005050721889,0.2396181592114634,0.0217957166383475,0.06285703319201827,0.04660012461834004,2.409870392139144,0.2003373455470628,0.3781078019864033,0.04426299758418669,0.5915767476736268,0.05061993484797,0.06665515406557503,0.005858762259516124,-0.018787536141259567,0.007371217950516039,CHITTY
20080915,2008,259,2008.7095890410958,P62R17,LE07,39,0.18055555555555555,0.3815000743672038,0.024290581934434573,0.2142622756589313,0.016587042939207236,0.02226574095987369,0.030377781951333387,1.670080068635951,0.09566259063367794,0.21603728933001348,0.03974476279296895,0.4108302259781485,0.04541111521677875,0.049811192718712836,0.005075965797722092,-0.046779880005939856,0.009198452408767092,SULPHUR
20080915,2008,259,2008.7095890410958,P62R17,LE07,64,0.32160804020100503,0.4278953294368178,0.04408033506290148,0.19010905116277368,0.23467465278208186,0.003845550369209492,0.03877352161015648,1.8780420288187831,0.2050731827866797,0.2606585107686474,0.07432955543500977,0.461295964645512,0.0829685561905049,0.05400002791043308,0.041235773173803864,-0.03879374637038337,0.025276705293413654,KLOO
20090708,2009,189,2009.5178082191776,P62R17,LT05,369,1.0,0.3118859684716935,0.021002557649055103,0.2745914001882496,0.026732317093888014,0.10200342714635544,0.015237856657553832,1.7942394262094117,0.0819723259199972,0.2275089908455661,0.024269007922079738,0.4956712750390703,0.02895898144092697,0.0414027893547519,0.006579682045622056,-0.03309481616744482,0.007357777154768813,SILVER
20090709,2009,190,2009.5205479452054,P61R17,LE07,203,1.0,0.6100975907839827,0.03069934641849512,0.3487616544684249,0.051133191286614636,0.1131910424122494,0.035496816047863686,3.926660219536768,0.4147299509750105,0.26579981529895635,0.06478701477082302,0.5211659761280752,0.06812440124235092,0.09962539372465702,0.018906907125384332,-0.057357520729331236,0.021228807735236933,KLOO
20090709,2009,190,2009.5205479452054,P61R17,LE07,333,0.902439024390244,0.6285533863822579,0.029497536640984406,0.3260046988266157,0.024504667216600187,0.12359365657344132,0.04521492359311082,4.146600797306479,0.4076976660220614,0.17836847131691455,0.02607559734272809,0.4485683146816527,0.036337605974312334,0.090663215960264,0.00781866247399047,-0.07410717274075569,0.0077397587626299984,SILVER
20090709,2009,190,2009.5205479452054,P61R17,LE07,215,1.0,0.5935546147084101,0.02441884338496131,0.3183496306489376,0.02563099799146913,0.11488046842537825,0.03597457724335601,3.7358858993735087,0.2863748127277304,0.26815772791607234,0.0537981302642487,0.5165926667775933,0.04977165285816021,0.08787975456046099,0.00875907781848411,-0.05064580546205144,0.014481895113993996,SULPHUR
20090709,2009,190,2009.5205479452054,P61R17,LE07,368,0.997289972899729,0.5909498878699135,0.02635143188690046,0.3070710312245919,0.02447384185844878,0.11286013100715694,0.038441555161741435,3.7212545135351545,0.3107305633538085,0.2795468213513689,0.04968903777078039,0.5360151840529905,0.05276432111366005,0.08477740515289539,0.007955454514534045,-0.04507054361690048,0.01309050492137515,CHITTY
20090710,2009,191,2009.5232876712325,P60R17,LT05,203,1.0,0.6307696245764076,0.03323689568158194,0.3644047995805205,0.054603787201065186,0.07413409677308347,0.04235798633993562,4.159264372382077,0.5085483945183991,0.2602460446132713,0.06366329424142265,0.5150479838274278,0.06065467939707105,0.10966192458787996,0.020630533593571542,-0.06472405687345129,0.02091136987094821,KLOO
20090710,2009,191,2009.5232876712325,P60R17,LT05,344,0.9322493224932248,0.6099888447578435,0.033553479561347216,0.3270952387678761,0.030933839645679213,0.08120780152293178,0.03911008756458487,3.8750108384992688,0.4337368063671641,0.18752732938604624,0.02825129207724804,0.4497460240465556,0.03641845281538327,0.09208155444452523,0.01057636955621826,-0.07366383851459263,0.007380452540383974,SILVER
20090710,2009,191,2009.5232876712325,P60R17,LT05,215,1.0,0.6187308455497724,0.023736086072245748,0.33383527797517576,0.026589678532469532,0.07732783102033458,0.03810691678157354,3.9998862676790767,0.3165086866555183,0.2583287994749931,0.046341742395710345,0.5054556541891354,0.04478278579343487,0.09743002996117106,0.009637639700442274,-0.05890957322179882,0.01350149167873017,SULPHUR
20090710,2009,191,2009.5232876712325,P60R17,LT05,368,0.997289972899729,0.6239838185476644,0.02525099054953825,0.33062389218388105,0.02568569375046684,0.08571600259458402,0.040622847324189734,4.0911160856239785,0.34189960795625396,0.2841565214866845,0.044101226475333793,0.5410416010677294,0.04861947102541761,0.09706922936487504,0.009390475379556649,-0.0504639651055372,0.012475048956914736,CHITTY
20090716,2009,197,2009.539726027397,P62R17,LE07,187,0.5067750677506775,0.6713701453613053,0.028018781478251386,0.28450224725004497,0.023497413528641247,0.1108668128444378,0.04687298975633829,4.880623856663356,0.4900034345052342,0.22597104716646896,0.02741928872118581,0.4904305303519506,0.035639821530616275,0.08721196215644968,0.008471083228418283,-0.057702094037138836,0.006387717065837021,SILVER
20090717,2009,198,2009.5424657534247,P61R17,LT05,215,1.0,0.6130718751324644,0.026989686131427704,0.28102209430550273,0.026510643404240662,0.08447299386770067,0.0397051098756036,3.999224390270909,0.3529653767146348,0.2575217814103733,0.05180297913773377,0.5085844049432314,0.04912626487146182,0.08685429925984972,0.009808584410509042,-0.05191309060285682,0.013617899666808285,SULPHUR
20090717,2009,198,2009.5424657534247,P61R17,LT05,368,0.997289972899729,0.6203385576686159,0.026342984700307312,0.2800269810454062,0.024448018320109184,0.08892525898784424,0.037084022615957266,4.106967256699133,0.34878564038736504,0.2882913860603208,0.05081890954872753,0.5485956805361899,0.05417624239471176,0.0881937191704787,0.009338631014928923,-0.04421608167884807,0.012817222647489673,CHITTY
20090717,2009,198,2009.5424657534247,P61R17,LT05,203,1.0,0.6261772340008558,0.03372319528511356,0.3049751670054821,0.04678693284911541,0.08410944202846057,0.037196565742775516,4.172388612814815,0.5122720636965359,0.2543205246592282,0.0682009510190678,0.5124825656868329,0.07007622421008193,0.09741643372199844,0.02043243936499164,-0.05812063435974106,0.01959313572591604,KLOO
20090717,2009,198,2009.5424657534247,P61R17,LT05,369,1.0,0.6228396482454771,0.029354699485992387,0.2936153508425645,0.026974243829099742,0.09339540166223036,0.032734585096585216,4.095841985541398,0.400915248879478,0.18788236657459054,0.02921889965988345,0.4517679369431151,0.035108846947873716,0.08936943195713108,0.010148798722869692,-0.06999100545613621,0.007416912678501352,SILVER
20090718,2009,199,2009.5452054794519,P60R17,LE07,181,0.8916256157635468,0.6837696969768885,0.03440093700922037,0.3365130297035496,0.053745967190378316,0.10107677878715562,0.04556195367183896,5.1270750841507855,0.7526835049133241,0.2494212407848401,0.0604890002027538,0.4970671659074214,0.06481269841202278,0.10900597989532597,0.023978333956555062,-0.06745554956302917,0.020865130404278648,KLOO
20090718,2009,199,2009.5452054794519,P60R17,LE07,362,0.9810298102981032,0.6770978385879498,0.02697602533216085,0.3100374444466555,0.02575653963143864,0.1072532070248268,0.044247320484437205,5.009347654491781,0.5117039027762665,0.2854428099579585,0.04890452075588615,0.5340453454801227,0.05248278872221309,0.09812507318124188,0.009568004255990034,-0.05163578231762746,0.012753894433859624,CHITTY
20090718,2009,199,2009.5452054794519,P60R17,LE07,155,0.7209302325581395,0.6781887979731673,0.02608459906068419,0.3087885100656881,0.024845680676208008,0.11137421283304902,0.04493984236905376,5.016242190058387,0.5060386519529686,0.2601686254104807,0.04873496363194284,0.500837786426057,0.045986816136454736,0.09691441834689976,0.009766990101408631,-0.058118487215314325,0.012312185253879102,SULPHUR
20090718,2009,199,2009.5452054794519,P60R17,LE07,286,0.7750677506775068,0.6557710923322329,0.02759809689252656,0.30696042019356845,0.022208545071653284,0.10892514278155473,0.03827657754848623,4.583944113151162,0.4480502454425652,0.1758902386250228,0.024839564858130842,0.4263331824775442,0.03294469589806685,0.09205972524950873,0.007963874487929354,-0.07677737845125204,0.006442110455880521,SILVER
20090725,2009,206,2009.564383561644,P61R17,LE07,368,0.997289972899729,0.6771059326196339,0.028146379810056524,0.27808167707387194,0.023548552327786614,0.0945714521203488,0.05032177873710924,5.067558184134139,0.5353803740029041,0.29259595259162835,0.050848732674248616,0.5446609572708467,0.0522831432804033,0.0889258957730887,0.008928816214335555,-0.044893408747291516,0.011449487243355427,CHITTY
20090725,2009,206,2009.564383561644,P61R17,LE07,203,1.0,0.6925713833552579,0.03843653052100853,0.3061271957506769,0.0553951570416716,0.09135465884081413,0.04993211706670782,5.3926062072920296,0.8630688390663709,0.26140674483512977,0.06686792276271536,0.5176545912359242,0.07008071573412075,0.10095507770855992,0.024691440936021453,-0.05847549688097167,0.020184474162615016,KLOO
20090725,2009,206,2009.564383561644,P61R17,LE07,215,1.0,0.6897996404859702,0.027943853442600662,0.2803222045820952,0.025813935496825702,0.0969690062135028,0.054426746275192464,5.305208460869356,0.5859220012827141,0.2629933479374446,0.05430368392372152,0.5145205308464427,0.04889535350710554,0.09004913496078393,0.00977877241600466,-0.05242318049168269,0.013339569580833242,SULPHUR
20090725,2009,206,2009.564383561644,P61R17,LE07,364,0.986449864498645,0.6804985204823372,0.031064198164848875,0.2901905802462028,0.026691083322506942,0.11105759796372212,0.04804429703630703,5.096459775194703,0.6312269291273349,0.19096487802374826,0.030403259709332518,0.4581337223567362,0.0401724589006008,0.0902531196569531,0.01017695844547869,-0.06818275726100123,0.007044086801783258,SILVER
20090801,2009,213,2009.5835616438355,P62R17,LE07,169,0.8492462311557789,0.6671418943243513,0.045584933184918235,0.3325340157668191,0.04181777489383996,0.08557989186008101,0.05254922890913842,4.944828400714508,0.8659314426499102,0.2818764559487971,0.07432023554727392,0.5382686407647028,0.07415931346825083,0.10629315039593903,0.01601144613938361,-0.05643669350014933,0.017504073815782253,KLOO
20090801,2009,213,2009.5835616438355,P62R17,LE07,318,0.8617886178861789,0.6057550346335648,0.02555832643201841,0.28974657765404505,0.022830844946423547,0.08882621137936092,0.04106546837701041,3.9393652063756446,0.3158106668269268,0.1972634533983164,0.024343260969424508,0.45032663802479256,0.03204806707429145,0.0837457991335624,0.007968540858578945,-0.06516080023473365,0.006712594594641463,SILVER
20090802,2009,214,2009.5863013698638,P61R17,LT05,306,0.8292682926829268,0.2902479127940373,0.02100293957726516,0.2948768803181032,0.028342536455235868,0.1121459382362184,0.01680590399188733,1.768836231677423,0.08014122208926383,0.3094969422118962,0.022570502254944343,0.5702037022277116,0.032794893703526916,0.035131020818257294,0.006871348554355249,-0.00710452080036953,0.006787156471115681,SILVER
20090803,2009,215,2009.5890410958905,P60R17,LE07,50,0.2325581395348837,0.6199821914887808,0.022751595668109158,0.33057134528985394,0.02838407816457198,0.11873139068933752,0.035500972492785283,4.150713670355281,0.3056354860075996,0.26070064604427284,0.06024602388503486,0.5117557379726769,0.0571909292938275,0.09452292205661283,0.009354178017948151,-0.05666406190470561,0.017996670828767464,SULPHUR
20090803,2009,215,2009.5890410958905,P60R17,LE07,182,0.4932249322493225,0.6221897170683076,0.024616518430326688,0.3236570172028803,0.025942988024741688,0.10968390261227287,0.03679996544482967,4.2002528872243925,0.3415788991751383,0.3052024272466297,0.04994008731554216,0.5575811261815354,0.05024720969569476,0.09368993422185576,0.009182999221461251,-0.04393080025789727,0.01330862541572647,CHITTY
20090803,2009,215,2009.5890410958905,P60R17,LE07,168,0.8275862068965517,0.6350099434490052,0.03628196611578279,0.3588170399173637,0.07264314327904603,0.11692480984052166,0.042620809314115465,4.396627431324407,0.5657177476627544,0.2934547354612762,0.06548680029489598,0.5454563430285658,0.07070791182742245,0.10649166086791888,0.031834354947003464,-0.05369561033174509,0.024651858254567848,KLOO
20090803,2009,215,2009.5890410958905,P60R18,LE07,96,0.2601626016260163,0.6309770330887879,0.035191147377610664,0.3185289827100421,0.03026955375324502,0.11700780632601628,0.04504317666083932,4.317095472101794,0.5350460335452952,0.2075996654611648,0.0304506906347558,0.4659969026665813,0.04286443031845622,0.0907380805726007,0.01078879522981132,-0.0667098732785626,0.008262697887392693,SILVER
20090818,2009,230,2009.6301369863013,P61R17,LT05,368,0.997289972899729,0.6289788735393106,0.03154437654696775,0.2577547560139936,0.023056547283120683,0.09828311269316133,0.05195792734969636,4.418162378277175,0.4743406726915824,0.3392646686603006,0.05737136436026169,0.5944205076403798,0.05542007778093374,0.08150180652741285,0.008749444021094477,-0.03087397226537718,0.010937645073597471,CHITTY
